5.8040,3.3918,1.0000
5.1767,5.6596,1.0000
5.1995,4.2639,1.0000
5.9123,4.5373,1.0000
3.7002,5.4129,1.0000
4.4357,1.4246,1.0000
2.7570,4.2331,1.0000
3.2136,4.0435,-1.0000
3.4374,4.6513,-1.0000
4.7258,2.6724,-1.0000
5.4433,3.9173,1.0000
5.2317,3.1258,1.0000
5.2030,3.6058,-1.0000
7.0113,4.9483,1.0000
1.7252,-0.2319,-1.0000
6.6390,1.5922,1.0000
4.1591,3.1840,1.0000
1.5091,4.6663,-1.0000
1.7339,3.1147,-1.0000
5.8488,7.3730,1.0000
3.0896,6.1520,-1.0000
1.4044,2.5605,-1.0000
6.5196,4.5857,1.0000
3.5502,5.0615,1.0000
1.5608,1.1972,-1.0000
5.8074,4.4659,1.0000
2.8410,5.0487,-1.0000
4.4274,3.8275,1.0000
3.7857,4.7606,-1.0000
3.2579,4.9598,-1.0000
6.3327,4.7002,1.0000
2.1127,4.4246,-1.0000
3.9162,3.2590,-1.0000
3.0782,2.9729,-1.0000
3.1443,1.5811,-1.0000
0.8368,2.4660,1.0000
3.2762,5.4661,1.0000
5.5846,4.4187,1.0000
4.0526,3.1474,-1.0000
3.5387,5.2068,1.0000
2.3953,1.4235,-1.0000
5.7500,3.3875,1.0000
4.9068,3.2630,1.0000
2.0454,2.1961,-1.0000
3.3982,4.6699,-1.0000
2.0538,4.8370,-1.0000
5.6663,6.5855,1.0000
3.8082,3.3827,1.0000
5.8783,4.3473,1.0000
3.3672,2.6511,-1.0000
2.8871,4.2470,-1.0000
2.8378,4.3903,1.0000
1.5359,3.5370,-1.0000
4.5176,3.1654,-1.0000
5.1783,4.8849,1.0000
1.2504,3.3603,-1.0000
5.5434,4.1086,1.0000
2.0985,2.9271,-1.0000
3.8489,3.2319,-1.0000
3.3801,5.9085,1.0000
0.6798,2.1245,-1.0000
3.3607,4.4350,1.0000
5.0184,3.5657,1.0000
3.9873,3.0700,-1.0000
5.8557,3.5675,1.0000
3.8406,2.2155,-1.0000
5.9213,4.2766,1.0000
3.2995,4.5391,-1.0000
4.8901,4.7669,-1.0000
2.4754,0.5068,-1.0000
5.2833,3.2266,1.0000
3.2902,5.1237,-1.0000
0.4734,2.9440,-1.0000
5.9917,5.9520,1.0000
5.3226,5.5542,1.0000
3.8935,5.3278,1.0000
7.2153,3.2957,1.0000
7.1409,3.1221,1.0000
7.0675,3.1643,1.0000
4.8728,3.7995,-1.0000
